NAMA_KAB,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X17,X18,X19,X20,X22,X23
CILACAP,6.20,51.18,5.56,0.86,2.42,5.51,152.70,0.26,0.40,63.78,13.82,0.21,0.33,0.02,0.93,0.26,0.39,0.02,0.08,9.80,0.32
BANYUMAS,3.57,20.58,3.92,0.57,2.18,5.81,118.49,0.23,0.27,46.77,11.27,0.19,0.23,0.00,0.83,0.32,0.29,0.04,0.05,12.57,0.24
PURBALINGGA,3.65,13.84,3.38,0.51,1.46,4.93,93.57,0.18,0.19,34.29,6.72,0.14,0.14,0.00,0.90,0.20,0.39,0.02,0.11,12.86,0.20
BANJARNEGARA,5.38,22.74,3.69,0.36,1.45,3.61,95.70,0.18,0.17,36.48,5.22,0.14,0.32,0.00,0.95,0.56,0.06,0.02,0.47,9.24,0.15
KEBUMEN,4.90,20.20,2.66,0.37,1.08,3.29,103.26,0.13,0.25,22.80,5.61,0.14,0.17,0.00,0.94,0.16,0.48,0.01,0.00,10.60,0.13
PURWOREJO,5.60,18.76,1.53,0.26,0.80,1.98,50.72,0.07,0.17,14.12,3.37,0.11,0.15,0.00,0.97,0.41,0.46,0.00,0.11,7.17,0.06
WONOSOBO,5.85,18.03,2.91,0.32,1.22,2.87,103.34,0.14,0.25,39.39,4.21,0.09,0.47,0.00,0.95,0.66,0.17,0.01,0.92,9.25,0.22
MAGELANG,4.63,22.02,3.20,0.35,1.34,3.17,75.00,0.17,0.19,36.23,5.89,0.11,0.18,0.00,0.96,0.33,0.41,0.00,0.63,11.15,0.10
BOYOLALI,4.70,28.70,3.75,0.55,1.78,4.24,33.97,0.30,0.33,36.27,9.06,0.18,0.19,0.00,0.97,0.31,0.28,0.01,0.28,10.65,0.29
KLATEN,5.67,25.21,2.70,0.78,1.52,5.02,41.53,0.31,0.23,28.64,8.89,0.22,0.04,0.00,0.84,0.07,0.75,0.02,0.04,20.19,0.03
SUKOHARJO,3.90,14.19,4.12,1.22,2.98,7.79,35.18,0.32,0.30,41.24,15.89,0.24,0.03,0.00,0.71,0.04,0.55,0.06,0.00,18.23,0.01
WONOGIRI,4.74,37.40,3.53,0.98,1.29,3.70,42.94,0.22,0.37,28.86,6.19,0.14,0.28,0.00,0.97,0.42,0.06,0.01,0.51,5.43,0.06
KARANGANYAR,4.51,18.56,3.95,0.99,2.42,7.14,66.89,0.33,0.34,42.19,17.41,0.28,0.06,0.00,0.87,0.21,0.25,0.03,0.51,11.34,0.10
SRAGEN,3.98,18.45,3.99,0.86,2.54,7.00,71.82,0.35,0.39,63.35,22.72,0.21,0.15,0.00,0.97,0.08,0.53,0.02,0.00,9.25,0.06
GROBOGAN,5.36,25.45,4.39,0.57,1.81,4.69,34.10,0.12,0.39,47.11,14.76,0.19,0.38,0.00,0.97,0.07,0.47,0.04,0.01,6.93,0.44
BLORA,5.77,24.48,2.92,0.44,1.12,2.98,19.88,0.19,0.21,22.38,12.21,0.11,0.47,0.00,0.94,0.27,0.35,0.01,0.00,4.61,0.49
REMBANG,6.04,22.38,1.88,0.33,0.96,2.13,16.88,0.11,0.13,15.78,8.80,0.08,0.27,0.03,0.93,0.49,0.22,0.04,0.03,5.97,0.23
PATI,4.38,19.17,2.98,0.37,1.49,3.77,19.17,0.15,0.18,27.03,14.12,0.13,0.15,0.05,0.91,0.30,0.47,0.03,0.00,8.42,0.16
KUDUS,3.66,8.30,6.00,0.81,3.08,7.95,37.59,0.31,0.20,61.80,25.74,0.24,0.10,0.00,0.37,0.05,0.48,0.14,0.09,18.48,0.04
JEPARA,4.50,20.97,5.37,0.55,2.18,5.01,131.60,0.26,0.34,50.27,14.80,0.14,0.19,0.08,0.65,0.15,0.29,0.08,0.15,12.10,0.21
DEMAK,5.23,15.66,3.99,0.57,1.76,4.47,13.24,0.13,0.20,36.71,8.69,0.09,0.01,0.03,0.88,0.14,0.70,0.01,0.00,11.91,0.04
SEMARANG,4.47,29.72,3.83,0.63,1.83,4.23,68.03,0.19,0.27,39.84,9.74,0.16,0.16,0.00,0.88,0.27,0.23,0.03,0.80,9.83,0.14
TEMANGGUNG,3.84,16.75,2.53,0.29,1.22,3.18,120.43,0.12,0.09,29.92,4.22,0.11,0.19,0.00,0.93,0.48,0.36,0.01,0.98,9.83,0.19
KENDAL,4.10,20.84,3.05,0.42,1.88,4.41,18.14,0.16,0.14,27.80,9.64,0.14,0.23,0.02,0.89,0.22,0.42,0.01,0.28,11.02,0.31
BATANG,3.95,25.91,2.89,0.31,1.70,3.22,97.67,0.12,0.15,25.06,8.04,0.10,0.29,0.03,0.89,0.27,0.38,0.02,0.33,10.60,0.24
PEKALONGAN,4.13,18.52,2.84,0.51,1.53,3.23,91.45,0.10,0.09,23.54,10.78,0.11,0.22,0.00,0.76,0.05,0.41,0.07,0.20,10.11,0.46
PEMALANG,5.48,25.71,4.76,0.59,1.79,4.79,18.08,0.23,0.22,33.46,10.50,0.22,0.31,0.04,0.91,0.20,0.57,0.00,0.21,13.94,0.33
TEGAL,4.43,17.32,3.93,0.52,2.22,4.91,50.30,0.21,0.15,29.69,8.80,0.22,0.22,0.01,0.72,0.14,0.57,0.05,0.16,16.43,0.35
BREBES,6.04,39.44,4.78,0.58,2.44,4.55,23.79,0.23,0.18,41.00,7.74,0.21,0.30,0.03,0.96,0.30,0.60,0.00,0.13,10.47,0.33
KOTA MAGELANG,1.69,4.65,7.59,2.12,7.29,19.82,55.18,0.65,0.53,125.41,43.35,0.71,0.00,0.00,0.00,0.12,0.00,0.35,0.00,36.43,0.00
KOTA SURAKARTA,1.85,2.62,8.63,2.31,6.00,13.14,60.69,0.86,0.45,171.43,60.02,0.78,0.00,0.00,0.00,0.00,0.00,0.96,0.00,127.00,0.00
KOTA SALATIGA,1.97,3.00,7.73,2.14,5.32,12.00,47.32,0.41,0.32,95.27,38.95,0.32,0.00,0.00,0.32,0.14,0.14,0.23,1.00,30.19,0.00
KOTA SEMARANG,2.84,8.70,5.62,1.45,4.61,10.19,16.54,0.63,0.29,68.88,29.01,0.55,0.06,0.04,0.11,0.08,0.03,0.69,0.01,28.31,0.10
KOTA PEKALONGAN,2.31,3.53,5.09,1.55,3.11,5.77,34.36,0.51,0.21,34.19,25.04,0.38,0.00,0.00,0.09,0.02,0.30,0.45,0.00,63.89,0.00
KOTA TEGAL,1.70,3.79,7.93,1.85,4.07,10.33,27.74,0.44,0.37,124.96,52.78,0.33,0.00,0.00,0.19,0.04,0.22,0.44,0.00,69.28,0.00
